TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
CKT,CHECKIT PLC,ORD 5P,GB00B0C5RG72,SHRS,Technology,Technology,19/09/2006,United Kingdom,GBX,�35.28,AIM,,ASX1,AIMP
CGW,CHELVERTON GROWTH TRUST PLC,ORD 1P,GB0002621349,SHRS,Financials,Financial Services ,10/08/2001,United Kingdom,GBX,�3.19,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SDV,CHELVERTON UK DIVIDEND TRUST PLC,ORD 25P,GB0006615826,SHRS,Financials,Financial Services ,13/09/1999,United Kingdom,GBX,�49.83,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BC88,CHEMRING GROUP PLC,7% CUM PRF #1,GB0001904845,SHRS,Industrials,Industrial Goods and Services,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
CHG,CHEMRING GROUP PLC,ORD 1P,GB00B45C9X44,SHRS,Industrials,Industrial Goods and Services,28/03/2011,United Kingdom,GBX,�935.03,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
TORO,CHENAVARI TORO INCOME FUND LIMITED,EUR SHS NPV,GG00BWBSDM98,SHRS,Financials,Financial Services ,08/05/2015,Guernsey,EUR,�138.30,MAIN MARKET - SFS,,SFM2,SFQQ
CSN,CHESNARA PLC,ORD 5P,GB00B00FPT80,SHRS,Financials,Insurance,08/07/2005,United Kingdom,GBX,�458.69,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CHF,CHESTERFIELD RESOURCES PLC,ORD 0.1P,GB00BF2F1X78,SHRS,Basic Materials,Basic Resources,29/08/2017,United Kingdom,GBX,�10.92,MAIN MARKET,Standard Shares,SSQ3,SQS3
CHLL,CHILL BRANDS GROUP PLC,ORD 1P,GB00BWC4X262,SHRS,Energy,Energy,25/03/2015,United Kingdom,GBX,�84.30,MAIN MARKET,Standard Shares,SSQ3,SQS3
CNG,CHINA NONFERROUS GOLD LIMITED,ORD USD0.0001 (DI),KYG215771042,SHRS,Basic Materials,Basic Resources,22/11/2013,Cayman Islands,GBX,�30.50,AIM,,AMSM,ASM8
CTG,CHRISTIE GROUP PLC,ORD 2P,GB0001953156,SHRS,Industrials,Industrial Goods and Services,21/03/2006,United Kingdom,GBX,�31.83,AIM,,ASX1,AIMP
CHRY,CHRYSALIS INVESTMENTS LIMITED,ORD NPV,GG00BGJYPP46,SHRS,Financials,Financial Services ,06/11/2018,Guernsey,GBX,"�1,428.38",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
CHH,CHURCHILL CHINA PLC,ORD 10P,GB0001961035,SHRS,Consumer Discretionary,Consumer Products and Services,22/04/2003,United Kingdom,GBX,�209.43,AIM,,ASX1,AIMP
CINH,CINDRIGO HOLDINGS LIMITED,ORD GBP0.01,GG00BV0LCK35,SHRS,Financials,Financial Services ,19/02/2015,Guernsey,GBX,�0.54,MAIN MARKET,Standard Shares,SSQ3,SQS3
CINE,CINEWORLD GROUP PLC,ORD 1P,GB00B15FWH70,SHRS,Consumer Discretionary,Travel and Leisure,18/06/2007,United Kingdom,GBX,�916.34,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
CIP,CIP MERCHANT CAPITAL LIMITED,ORD NPV,GG00BF8NW879,SHRS,Financials,Financial Services ,22/12/2017,Guernsey,GBX,�30.80,AIM,,ASQ1,AMQ1
CIR,CIRCASSIA GROUP PLC,ORD 0.08P,GB00BJVD3B28,SHRS,Health Care ,Health Care  ,13/03/2014,United Kingdom,GBX,�162.47,AIM,,AMSM,ASM6
CRC,CIRCLE PROPERTY PLC,ORD NPV,JE00BYP0CK63,SHRS,Real Estate,Real Estate ,16/02/2016,Jersey,GBX,�57.16,AIM,,ASQ1,AMQ1
CRES,CITIUS RESOURCES PLC,ORD 0.5P,GB00BMGRFP88,SHRS,Financials,Financial Services ,25/08/2021,United Kingdom,GBX,�2.05,MAIN MARKET,Standard Shares,SSQ3,SQS3
CIN,CITY OF LONDON GROUP PLC,ORD 2P,GB00BD9GS058,SHRS,Financials,Financial Services ,03/10/2017,United Kingdom,GBX,�58.12,AIM,,ASQ1,AMQ1
CLIG,CITY OF LONDON INVESTMENT GROUP PLC,ORD 1P,GB00B104RS51,SHRS,Financials,Financial Services ,19/12/2006,United Kingdom,GBX,�259.48,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
BA47,CITY OF LONDON INVESTMENT TRUST PLC,PFD ORD STK(14% NON-CUM)#1,GB0001990059,SHRS,Financials,Financial Services ,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
BA69,CITY OF LONDON INVESTMENT TRUST PLC,4.2% CUM 1ST PRF STK,GB0001990612,SHRS,Financials,Financial Services ,28/06/2002,United Kingdom,GBP,�26.56,MAIN MARKET,Standard Shares,SSX4,SXSN
CTY,CITY OF LONDON INVESTMENT TRUST PLC,ORD 25P,GB0001990497,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,"�1,786.20",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
CTYA,CITY OF LONDON INVESTMENT TRUST PLC,4.2% NON-CUM 2ND PRF STK #1,GB0001990836,SHRS,Financials,Financial Services ,28/06/2002,United Kingdom,GBX,�0.48,MAIN MARKET,Standard Shares,SSX4,SXSN
CPC,CITY PUB GROUP PLC (THE),ORD 1P,GB00BYWRS683,SHRS,Consumer Discretionary,Travel and Leisure,23/11/2017,United Kingdom,GBX,�115.17,AIM,,ASQ1,AMQ1
CSH,CIVITAS SOCIAL HOUSING PLC,ORD 1P,GB00BD8HBD32,SHRS,Real Estate,Real Estate ,18/11/2016,United Kingdom,GBX,�661.05,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25S
CIZ,CIZZLE BIOTECHNOLOGY HOLDINGS PLC,ORD 0.01P,GB00BNG2VN02,SHRS,Health Care ,Health Care  ,14/05/2021,United Kingdom,GBX,�13.05,MAIN MARKET,Standard Shares,SSQ3,SQS3
CKN,CLARKSON PLC,ORD 25P,GB0002018363,SHRS,Industrials,Industrial Goods and Services,08/07/2005,United Kingdom,GBX,"�1,154.70",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CLIN,CLINIGEN GROUP PLC,ORD 0.1P,GB00B89J2419,SHRS,Health Care ,Health Care  ,25/09/2012,United Kingdom,GBX,�842.74,AIM,,AMSM,AS50
CLG,CLIPPER LOGISTICS PLC,ORD 0.05P,GB00BMMV6B79,SHRS,Industrials,Industrial Goods and Services,30/05/2014,United Kingdom,GBX,�789.19,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CLON,CLONTARF ENERGY PLC,ORD 0.25P,GB00B09WLX62,SHRS,Basic Materials,Basic Resources,20/09/2006,United Kingdom,GBX,�2.79,AIM,,ASX1,AIMP
CBG,CLOSE BROTHERS GROUP PLC,ORD 25P,GB0007668071,SHRS,Financials,Banks,31/10/2003,United Kingdom,GBX,"�2,317.81",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CDL,CLOUDBREAK DISCOVERY PLC,ORD 0.1P,GB00B44LQR57,SHRS,Basic Materials,Basic Resources,03/06/2021,United Kingdom,GBX,�8.18,MAIN MARKET,Standard Shares,SSQ3,SQS3
CALL,CLOUDCALL GROUP PLC,ORD 20P,GB00B4XS5145,SHRS,Technology,Technology,26/09/2012,United Kingdom,GBX,�28.10,AIM,,ASQ1,AMQ1
CLCO,CLOUDCOCO GROUP PLC,ORD 1P,GB00B8GRBX01,SHRS,Technology,Technology,02/04/2013,United Kingdom,GBX,�6.69,AIM,,ASX1,AIMP
CLI,CLS HOLDINGS PLC,ORD 2.5P,GB00BF044593,SHRS,Real Estate,Real Estate ,08/05/2017,United Kingdom,GBX,�961.45,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CMCX,CMC MARKETS PLC,ORD 25P,GB00B14SKR37,SHRS,Financials,Financial Services ,05/02/2016,United Kingdom,GBX,"�1,221.04",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
CML,CML MICROSYSTEMS PLC,ORD 5P,GB0001602944,SHRS,Technology,Technology,14/09/1999,United Kingdom,GBX,�66.54,MAIN MARKET,Standard Shares,SSX3,SQSL
CMO,CMO GROUP PLC,ORD 1P,GB00BMB5Y385,SHRS,Consumer Discretionary,Retail ,08/07/2021,United Kingdom,GBX,�145.74,AIM,,ASQ1,AMQ1
COA,COATS GROUP PLC,ORD 5P,GB00B4YZN328,SHRS,Industrials,Industrial Goods and Services,06/07/2011,United Kingdom,GBX,"�1,102.50",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
COBR,COBRA RESOURCES PLC,ORD 1P,GB00BGJW5255,SHRS,Basic Materials,Basic Resources,15/11/2018,United Kingdom,GBX,�6.02,MAIN MARKET,Standard Shares,SSQ3,SQS3
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,ORD EUR0.01 (DI),GB00BDCPN049,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",28/03/2019,United Kingdom,EUR,"�19,177.36",MAIN MARKET,Standard Shares,SSMU,SMEU
CCH,COCA-COLA HBC AG,ORD CHF6.70 (CDI),CH0198251305,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",29/04/2013,Switzerland,GBX,"�9,585.90",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CHRT,COHORT PLC,ORD 10P,GB00B0YD2B94,SHRS,Industrials,Industrial Goods and Services,16/12/2008,United Kingdom,GBX,�226.14,AIM,,AMSM,ASM7
CFX,COLEFAX GROUP PLC,ORD 10P,GB0002090453,SHRS,Consumer Discretionary,Consumer Products and Services,24/03/2005,United Kingdom,GBX,�56.39,AIM,,ASX1,AIMP
COD,COMPAGNIE DE SAINT-GOBAIN,COMPAGNIE DE ST-GOBAIN ORD SHS,FR0000125007,SHRS,Industrials,Construction and Materials,07/11/2007,France,EUR,"�28,592.17",MAIN MARKET,Standard Shares,SSMU,SMEV
CPG,COMPASS GROUP PLC,ORD 11 1/20P,GB00BD6K4575,SHRS,Consumer Discretionary,Consumer Products and Services,27/06/2017,United Kingdom,GBX,"�26,822.92",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
COM,COMPTOIR GROUP PLC,ORD 1P,GB00BYT1L205,SHRS,Consumer Discretionary,Travel and Leisure,21/06/2016,United Kingdom,GBX,�8.89,AIM,,ASQ1,AMQ1
CCC,COMPUTACENTER PLC,ORD 7 5/9P,GB00BV9FP302,SHRS,Technology,Technology,20/02/2015,United Kingdom,GBX,"�3,538.32",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CNC,CONCURRENT TECHNOLOGIES PLC,ORD 1P,GB0002183191,SHRS,Technology,Technology,23/09/2004,United Kingdom,GBX,�67.13,AIM,,ASX1,AIMP
CNR,CONDOR GOLD PLC,ORD 20P,GB00B8225591,SHRS,Basic Materials,Basic Resources,26/06/2012,United Kingdom,GBX,�60.04,AIM,,ASX1,AIMP
CRE,CONDUIT HOLDINGS LIMITED,COM SHS USD0.01 (DI),BMG243851091,SHRS,Financials,Insurance,05/12/2020,Bermuda,GBX,�829.50,MAIN MARKET,Standard Shares,SSMU,SMEV
CCAP,CONDUITY CAPITAL PLC,ORD 1P,GB00BMX66220,SHRS,Consumer Discretionary,Retail ,02/10/2020,United Kingdom,GBX,�1.59,AIM,,ASQ1,AMQ1
CGNR,CONROY GOLD & NATURAL RESOURCES PLC,ORD EUR0.001 (CDI),IE00BZ4BTZ13,SHRS,Basic Materials,Basic Resources,15/12/2015,Ireland,GBX,�8.15,AIM,,ASX1,AIMP
CGO,CONTANGO HOLDINGS PLC,ORD 1P,GB00BF0F5X78,SHRS,Financials,Financial Services ,01/11/2017,United Kingdom,GBX,�16.74,MAIN MARKET,Standard Shares,SSQ3,SQS3
GLO,CONTOURGLOBAL PLC,ORD 1P,GB00BF448H58,SHRS,Utilities,Utilities,09/11/2017,United Kingdom,GBX,"�1,267.66",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CTEC,CONVATEC GROUP PLC,ORD 10P,GB00BD3VFW73,SHRS,Health Care ,Health Care  ,26/10/2016,United Kingdom,GBX,"�4,504.92",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CIC,CONYGAR INVESTMENT COMPANY PLC (THE),ORD 5P,GB0033698720,SHRS,Real Estate,Real Estate ,01/02/2007,United Kingdom,GBX,�66.15,AIM,,ASQ1,AMQ1
CORA,CORA GOLD LIMITED,ORD NPV (DI),VGG2423W1077,SHRS,Basic Materials,Basic Resources,09/10/2017,British Virgin Islands,GBX,�43.02,AIM,,ASQ1,AMQ1
CRU,CORAL PRODUCTS PLC,ORD 1P,GB0002235736,SHRS,Industrials,Industrial Goods and Services,06/09/2011,United Kingdom,GBX,�11.28,AIM,,ASQ1,AMQ1
CRCL,CORCEL PLC,ORD 0.01P,GB00BKM69866,SHRS,Basic Materials,Basic Resources,24/12/2019,United Kingdom,GBX,�6.54,AIM,,ASQ1,AMQ1
CCRD,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,ORD C SHS NPV,GG00BMC7TN84,SHRS,Financials,Financial Services ,10/06/2021,Guernsey,GBX,�194.25,MAIN MARKET - SFS,,SFM1,SFML
CORD,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,ORD NPV,GG00BMC7TM77,SHRS,Financials,Financial Services ,16/02/2021,Guernsey,GBX,�442.80,MAIN MARKET - SFS,,SFM1,SFML
CSRD,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,SUB SHS NPV,GG00BMDGQT90,SHRS,Financials,Financial Services ,16/02/2021,Guernsey,GBX,�2.37,MAIN MARKET - SFS,,SFM2,SFQQ
CNS,CORERO NETWORK SECURITY PLC,ORD 1P,GB00B54X0432,SHRS,Technology,Technology,30/06/2009,United Kingdom,GBX,�49.49,AIM,,ASX1,AIMP
CSFS,CORNERSTONE FS PLC,ORD 1P,GB00BNG7CD28,SHRS,Industrials,Industrial Goods and Services,06/04/2021,United Kingdom,GBX,�6.79,AIM,,ASQ1,AMQ1
CUSN,CORNISH METALS INC.,COM SHS NPV (DI),CA21948L1040,SHRS,Basic Materials,Basic Resources,16/02/2021,Canada,GBX,�36.49,AIM,,ASQ1,AMQ1
CORO,CORO ENERGY PLC,ORD 0.1P,GB00BDCFP425,SHRS,Energy,Energy,24/02/2017,United Kingdom,GBX,�5.81,AIM,,ASQ1,AMQ1
COST,COSTAIN GROUP PLC,ORD 50P,GB00B64NSP76,SHRS,Industrials,Industrial Goods and Services,10/05/2010,United Kingdom,GBX,�164.69,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CSP,COUNTRYSIDE PROPERTIES PLC,ORD 1P,GB00BYPHNG03,SHRS,Consumer Discretionary,Consumer Products and Services,12/02/2016,United Kingdom,GBX,"�2,962.71",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CPP,CPPGROUP PLC,ORD GBP1.00,GB00BMDX5Z93,SHRS,Industrials,Industrial Goods and Services,29/05/2020,United Kingdom,GBX,�41.02,AIM,,AMSM,ASM8
CYN,CQS NATURAL RESOURCES GROWTH AND INCOME PLC,ORD 25P,GB0000353929,SHRS,Financials,Financial Services ,18/12/2007,United Kingdom,GBX,�90.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
NCYF,CQS NEW CITY HIGH YIELD FUND LIMITED,ORD NPV,JE00B1LZS514,SHRS,Financials,Financial Services ,07/03/2007,Jersey,GBX,�245.06,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
CRW,CRANEWARE PLC,ORD 1P,GB00B2425G68,SHRS,Health Care ,Health Care  ,13/09/2007,United Kingdom,GBX,�852.64,AIM,,ASQ1,AMQ1
CWK,CRANSWICK PLC,ORD 10P,GB0002318888,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",08/07/2005,United Kingdom,GBX,"�2,099.29",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CRV,CRAVEN HOUSE CAPITAL PLC,ORD USD1.00,GB00BD4FQ360,SHRS,Financials,Financial Services ,04/08/2016,United Kingdom,USD,�1.64,AIM,,ASQ1,AMQ1
CRL,CREIGHTONS PLC,ORD 1P,GB0002341666,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",16/03/2006,United Kingdom,GBX,�68.45,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CREO,CREO MEDICAL GROUP PLC,ORD GBP0.001,GB00BZ1BLL44,SHRS,Health Care ,Health Care  ,09/12/2016,United Kingdom,GBX,�291.41,AIM,,ASQ1,AMQ1
CRST,CREST NICHOLSON HOLDINGS PLC,ORD 5P,GB00B8VZXT93,SHRS,Consumer Discretionary,Consumer Products and Services,13/02/2013,United Kingdom,GBX,"�1,078.04",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
97GM,CRH PLC,7%'A'CUM PRF EUR 1.27 (CDI),IE0001827603,SHRS,Industrials,Construction and Materials,28/06/2002,Ireland,GBX,,MAIN MARKET,Standard Shares,SSX4,SXCL
CRH,CRH PLC,ORD EUR 0.32 (CDI),IE0001827041,SHRS,Industrials,Construction and Materials,08/07/2005,Ireland,GBX,"�30,279.42",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
TIDE,CRIMSON TIDE PLC,ORD 0.1P,GB0002080082,SHRS,Technology,Technology,22/08/2006,United Kingdom,GBX,�19.40,AIM,,ASX1,AIMP
CRTM,CRITICAL METALS PLC,ORD GBP0.005,GB00BJVR6M63,SHRS,Financials,Financial Services ,29/09/2020,United Kingdom,GBX,�7.81,MAIN MARKET,Standard Shares,SSQ3,SQS3
49GP,CRODA INTERNATIONAL PLC,6.6% CUM PRF #1,GB0002342854,SHRS,Basic Materials,Chemicals,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
50GP,CRODA INTERNATIONAL PLC,5.9% CUM PRF #1,GB0002343159,SHRS,Basic Materials,Chemicals,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
CRDA,CRODA INTERNATIONAL PLC,ORD 10.609756P,GB00BJFFLV09,SHRS,Basic Materials,Chemicals,29/04/2019,United Kingdom,GBX,"�12,632.02",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CSSG,CROMA SECURITY SOLUTIONS GROUP PLC,ORD 5P,GB00B5MJV178,SHRS,Industrials,Industrial Goods and Services,27/03/2012,United Kingdom,GBX,�11.85,AIM,,ASX1,AIMP
CRPR,CROPPER (JAMES) PLC,ORD 25P,GB0002346053,SHRS,Basic Materials,Basic Resources,14/09/1999,United Kingdom,GBX,�133.77,AIM,,ASX1,AIMP
CCS,CROSSWORD CYBERSECURITY PLC,ORD 0.5P,GB00BNG2LT65,SHRS,Technology,Technology,26/05/2021,United Kingdom,GBX,�25.11,AIM,,ASQ1,AMQ1
CRWN,CROWN PLACE VCT PLC,ORD 1P,GB0002577434,SHRS,Financials,Financial Services ,13/01/2006,United Kingdom,GBX,�74.11,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
CRS,CRYSTAL AMBER FUND LIMITED,ORD 1P,GG00B1Z2SL48,SHRS,Financials,Financial Services ,17/06/2008,Guernsey,GBX,�90.44,AIM,,ASX1,AIMP
CBP,CURTIS BANKS GROUP PLC,ORD 0.5P,GB00BW0D4R71,SHRS,Financials,Financial Services ,07/05/2015,United Kingdom,GBX,�174.56,AIM,,AMSM,ASM7
CZN,CURZON ENERGY PLC,ORD 0.01P,GB00BD97ND60,SHRS,Energy,Energy,04/10/2017,United Kingdom,GBX,�0.77,MAIN MARKET,Standard Shares,SSQ3,SQS3
CREI,CUSTODIAN REIT PLC,ORD 1P,GB00BJFLFT45,SHRS,Real Estate,Real Estate ,26/03/2014,United Kingdom,GBX,�413.03,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CCPE,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,ORD NPV EURO,JE00B9G79F59,SHRS,Financials,Financial Services ,25/06/2013,Jersey,EUR,�96.88,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
CCPG,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,ORD NPV GBP,JE00B9MRHZ51,SHRS,Financials,Financial Services ,25/06/2013,Jersey,GBX,�164.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CVSG,CVS GROUP PLC,ORD 0.2P,GB00B2863827,SHRS,Consumer Discretionary,Consumer Products and Services,18/03/2008,United Kingdom,GBX,"�1,733.81",AIM,,AMSM,AS50
CYAN,CYANCONNODE HOLDINGS PLC,ORD 2P,GB00BF93WP34,SHRS,Telecommunications,Telecommunications,03/10/2017,United Kingdom,GBX,�30.80,AIM,,ASX1,AIMP
CYBA,CYBA PLC,ORD GBP0.0001,GB00BMH18M70,SHRS,Financials,Financial Services ,08/03/2021,United Kingdom,GBX,�12.49,MAIN MARKET,Standard Shares,SSQ3,SQS3
D4T4,D4T4 SOLUTIONS PLC,ORD 2P,GB0001351955,SHRS,Technology,Technology,14/11/2000,United Kingdom,GBX,�148.89,AIM,,ASQ1,AMQ1
DMGT,DAILY MAIL & GENERAL TRUST PLC,'A'ORD(NON.V)12.5P,GB00BJQZC279,SHRS,Consumer Discretionary,Media,01/04/2019,United Kingdom,GBX,"�2,348.29",MAIN MARKET,Standard Shares,SSMU,SMEU
DFI,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (SING.REG),BMG2624N1535,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",27/09/2004,Bermuda,USD,"�9,045.32",MAIN MARKET,Standard Shares,SSX4,SXSN
DFIB,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (BERMUDA REGD),BMG2624N1535,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",03/11/2004,Bermuda,USD,"�9,045.32",MAIN MARKET,Standard Shares,SSX4,SXSN
DFIJ,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (JERSEY REG),BMG2624N1535,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",03/11/2004,Bermuda,USD,,MAIN MARKET,Standard Shares,SSX4,SXSN
DAL,DALATA HOTEL GROUP PLC,ORD EUR0.01 (CDI),IE00BJMZDW83,SHRS,Consumer Discretionary,Travel and Leisure,19/03/2014,Ireland,GBX,�691.44,MAIN MARKET,Standard Shares,SSMU,SMEX
DNK,DANAKALI LIMITED,ORDS NPV,AU000000DNK9,SHRS,Basic Materials,Basic Resources,24/07/2018,Australia,GBX,�71.93,MAIN MARKET,Standard Shares,SSX3,SQSL
DARK,DARKTRACE PLC,ORD GBP0.01,GB00BNYK8G86,SHRS,Technology,Technology,06/05/2021,United Kingdom,GBX,"�4,231.17",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
DAT,DATANG INTERNATIONAL POWER GENERATION COMPANY LD,'H'SHS CNY1.00,CNE1000002Z3,SHRS,Utilities,Utilities,17/10/2007,China,GBX,"�1,569.04",MAIN MARKET,Standard Shares,SSX4,SXSN
DVT,DAVICTUS PLC,ORD NPV,JE00BYY5RQ34,SHRS,Financials,Financial Services ,29/01/2016,Jersey,GBX,,MAIN MARKET,Standard Shares,SSQ3,SQS3
DCC,DCC PLC,ORD EUR0.25 (CDI),IE0002424939,SHRS,Industrials,Industrial Goods and Services,08/07/2005,Ireland,GBX,"�6,072.42",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
DCD,DCD MEDIA PLC,ORD GBP1.00,GB00BBD7QB75,SHRS,Consumer Discretionary,Media,01/07/2013,United Kingdom,GBX,�3.94,AIM,,ASX1,AIMP
DPH,DECHRA PHARMACEUTICALS PLC,ORD 1P,GB0009633180,SHRS,Health Care ,Health Care  ,02/12/2005,United Kingdom,GBX,"�5,654.37",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DMTR,DEEPMATTER GROUP PLC,ORD 0.01P,GB00B29YYY86,SHRS,Technology,Technology,31/12/2007,United Kingdom,GBX,�16.14,AIM,,ASX1,AIMP
DVRG,DEEPVERGE PLC,ORD 0.1P,GB00BMGWZY29,SHRS,Health Care ,Health Care  ,16/09/2020,United Kingdom,GBX,�62.40,AIM,,ASQ1,AMQ1
DKL,DEKEL AGRI-VISION PLC,ORD EUR0.0003367 (DI),CY0106502111,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",21/06/2016,Cyprus,GBX,�26.53,AIM,,ASQ1,AMQ1
DLAR,DE LA RUE PLC,ORD 44 152/175P,GB00B3DGH821,SHRS,Industrials,Industrial Goods and Services,17/11/2008,United Kingdom,GBX,�342.27,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ROO,DELIVEROO PLC,CLASS A ORD 0.5P,GB00BNC5T391,SHRS,Technology,Technology,07/04/2021,United Kingdom,GBX,"�6,226.79",MAIN MARKET,Standard Shares,SET3,ON10
DEMG,DELTEX MEDICAL GROUP PLC,ORD 1P,GB0059337583,SHRS,Health Care ,Health Care  ,25/03/2004,United Kingdom,GBX,�10.24,AIM,,ASX1,AIMP
DELT,DELTIC ENERGY PLC,ORD 0.5P,GB00B6SYKF01,SHRS,Energy,Energy,22/05/2012,United Kingdom,GBX,�29.17,AIM,,ASQ1,AMQ1
DLN,DERWENT LONDON PLC,ORD 5P,GB0002652740,SHRS,Real Estate,Real Estate ,01/02/2007,United Kingdom,GBX,"�4,236.81",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DEST,DESTINY PHARMA PLC,ORD GBP0.01,GB00BDHSP575,SHRS,Health Care ,Health Care  ,04/09/2017,United Kingdom,GBX,�72.73,AIM,,ASQ1,AMQ1
DEV,DEV CLEVER HOLDINGS PLC,ORD GBP0.01,GB00BH452L44,SHRS,Technology,Technology,21/01/2019,United Kingdom,GBX,�181.23,MAIN MARKET,Standard Shares,SSQ3,SQS3
DVO,DEVRO PLC,ORD 10P,GB0002670437,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",08/07/2005,United Kingdom,GBX,�374.80,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DWHA,DEWHURST PLC,'A'NON.VTG ORD 10P,GB0002675261,SHRS,Technology,Technology,02/05/2007,United Kingdom,GBX,�33.41,AIM,,ASX1,AIMP
DWHT,DEWHURST PLC,ORD 10P,GB0002675048,SHRS,Technology,Technology,02/05/2007,United Kingdom,GBX,�72.47,AIM,,ASX1,AIMP
DFS,DFS FURNITURE PLC,ORD GBP0.10,GB00BTC0LB89,SHRS,Consumer Discretionary,Retail ,06/03/2015,United Kingdom,GBX,�695.06,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DXRX,DIACEUTICS PLC,ORD GBP0.002,GB00BJQTGV64,SHRS,Health Care ,Health Care  ,21/03/2019,United Kingdom,GBX,�93.74,AIM,,ASQ1,AMQ1
DGE,DIAGEO PLC,ORD 28 101/108P,GB0002374006,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",24/11/2003,United Kingdom,GBX,"�81,420.65",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
DIA,DIALIGHT PLC,ORD 1.89P,GB0033057794,SHRS,Industrials,Industrial Goods and Services,18/12/2006,United Kingdom,GBX,�115.77,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
